Avg,City,Morn_ing,After_noon
76.00,"Jacksonville, Florida",89.00,58.00
76.00,"New Orleans, Louisiana",88.00,61.00
75.00,"Houston, Texas",90.00,55.00
74.00,"Orlando, Florida",89.00,56.00
74.00,"San Francisco, California",84.00,61.00
74.00,"Tampa, Florida",87.00,57.00
73.00,"Miami, Florida",84.00,62.00
73.00,"Portland, Oregon",85.00,59.00
73.00,"Rochester, New York",82.00,61.00
73.00,"Seattle, Washington",83.00,62.00
72.00,"Buffalo, New York",81.00,62.00
72.00,"Indianapolis, Indiana",83.00,58.00
72.00,"Milwaukee, Wisconsin",80.00,63.00
71.00,"Cleveland, Ohio",80.00,61.00
71.00,"Detroit, Michigan",81.00,58.00
71.00,"Los Angeles, California",79.00,64.00
70.00,"Birmingham, Alabama",84.00,52.00
70.00,"Chicago, Illinois",80.00,57.00
70.00,"Cincinnati, Ohio",80.00,56.00
70.00,"Columbus, Ohio",80.00,57.00
70.00,"Nashville, Tennessee",84.00,53.00
70.00,"Raleigh, North Carolina",84.00,52.00
70.00,"Richmond, Virginia",84.00,52.00
70.00,"St. Louis, Missouri",83.00,55.00
69.00,"Louisville, Kentucky",79.00,55.00
69.00,"San Diego, California",76.00,62.00
69.00,"Virginia Beach, Virginia",79.00,57.00
68.00,"Atlanta, Georgia",81.00,52.00
68.00,"Kansas City, Missouri",81.00,55.00
68.00,"Minneapolis, Minnesota",78.00,55.00
68.00,"Pittsburgh, Pennsylvania",78.00,55.00
68.00,"Providence, Rhode Island",78.00,57.00
67.00,"Austin, Texas",84.00,49.00
67.00,"Boston, Massachusetts",75.00,59.00
67.00,"Charlotte, North Carolina",81.00,51.00
67.00,"Memphis, Tennessee",80.00,53.00
67.00,"Philadelphia, Pennsylvania",78.00,54.00
67.00,"Sacramento, California",82.00,46.00
67.00,"San Antonio, Texas",83.00,48.00
66.00,"Baltimore, Maryland",77.00,52.00
66.00,"Hartford, Connecticut",79.00,52.00
65.00,"Dallas, Texas",82.00,49.00
65.00,"Oklahoma City, Oklahoma",79.00,48.00
64.00,"Washington, DC",75.00,52.00
63.00,"New York, New York",71.00,54.00
55.00,"Salt Lake City, Utah",67.00,43.00
52.00,"Denver, Colorado",67.00,40.00
37.00,"Phoenix, Arizona",51.00,23.00
30.00,"Las Vegas, Nevada",40.00,20.00