Days,City,Inches,Milli_metres
115.00,"New Orleans, Louisiana",62.70,1592.00
135.00,"Miami, Florida",61.90,1572.00
117.00,"Birmingham, Alabama",53.70,1364.00
108.00,"Memphis, Tennessee",53.70,1363.00
114.00,"Jacksonville, Florida",52.40,1331.00
117.00,"Orlando, Florida",50.70,1289.00
122.00,"New York, New York",49.90,1268.00
104.00,"Houston, Texas",49.80,1264.00
113.00,"Atlanta, Georgia",49.70,1263.00
119.00,"Nashville, Tennessee",47.30,1200.00
125.00,"Providence, Rhode Island",47.20,1198.00
117.00,"Virginia Beach, Virginia",46.50,1182.00
105.00,"Tampa, Florida",46.30,1176.00
100.00,"Raleigh, North Carolina",46.00,1169.00
130.00,"Hartford, Connecticut",45.90,1165.00
123.00,"Louisville, Kentucky",44.90,1141.00
126.00,"Boston, Massachusetts",43.80,1112.00
114.00,"Richmond, Virginia",43.60,1107.00
164.00,"Portland, Oregon",43.50,1104.00
129.00,"Indianapolis, Indiana",42.40,1078.00
116.00,"Baltimore, Maryland",41.90,1064.00
137.00,"Cincinnati, Ohio",41.90,1065.00
110.00,"Charlotte, North Carolina",41.60,1057.00
118.00,"Philadelphia, Pennsylvania",41.50,1055.00
113.00,"St. Louis, Missouri",41.00,1040.00
167.00,"Buffalo, New York",40.50,1028.00
114.00,"Washington, DC",39.70,1009.00
139.00,"Columbus, Ohio",39.30,998.00
155.00,"Cleveland, Ohio",39.10,994.00
91.00,"Kansas City, Missouri",39.10,992.00
151.00,"Pittsburgh, Pennsylvania",38.20,970.00
149.00,"Seattle, Washington",37.70,958.00
81.00,"Dallas, Texas",37.60,954.00
124.00,"Chicago, Illinois",36.90,937.00
84.00,"Oklahoma City, Oklahoma",36.50,928.00
127.00,"Milwaukee, Wisconsin",34.80,883.00
167.00,"Rochester, New York",34.30,870.00
88.00,"Austin, Texas",34.20,870.00
135.00,"Detroit, Michigan",33.50,850.00
83.00,"San Antonio, Texas",32.30,820.00
117.00,"Minneapolis, Minnesota",30.60,777.00
68.00,"San Francisco, California",20.70,525.00
60.00,"Sacramento, California",18.50,470.00
96.00,"Salt Lake City, Utah",16.10,409.00
62.00,"San Jose, California",15.80,402.00
87.00,"Denver, Colorado",15.60,396.00
36.00,"Los Angeles, California",12.80,326.00
30.00,"Riverside, California",10.30,262.00
42.00,"San Diego, California",10.30,263.00
30.00,"Phoenix, Arizona",8.20,208.00
27.00,"Las Vegas, Nevada",4.20,106.00