% Sun,City,Total Hours,Clear Days
73.00,"Los Angeles, California",0.00,147.00
66.00,"San Francisco, California",0.00,160.00
85.00,"Phoenix, Arizona",3872.00,211.00
85.00,"Las Vegas, Nevada",3825.00,210.00
78.00,"Sacramento, California",3608.00,188.00
70.00,"Miami, Florida",3154.00,74.00
69.00,"Denver, Colorado",3107.00,115.00
68.00,"Oklahoma City, Oklahoma",3089.00,139.00
68.00,"San Diego, California",3055.00,146.00
66.00,"Salt Lake City, Utah",3029.00,125.00
66.00,"Tampa, Florida",2927.00,101.00
64.00,"Memphis, Tennessee",2888.00,118.00
63.00,"Jacksonville, Florida",2880.00,94.00
61.00,"Dallas, Texas",2850.00,135.00
63.00,"Richmond, Virginia",2829.00,100.00
62.00,"Charlotte, North Carolina",2821.00,109.00
60.00,"Kansas City, Missouri",2810.00,120.00
60.00,"Atlanta, Georgia",2738.00,110.00
58.00,"Minneapolis, Minnesota",2711.00,95.00
60.00,"Virginia Beach, Virginia",2695.00,106.00
57.00,"New Orleans, Louisiana",2649.00,101.00
60.00,"Austin, Texas",2644.00,115.00
58.00,"Birmingham, Alabama",2641.00,99.00
58.00,"Boston, Massachusetts",2634.00,98.00
60.00,"San Antonio, Texas",2629.00,105.00
58.00,"Providence, Rhode Island",2606.00,98.00
58.00,"Raleigh, North Carolina",2606.00,111.00
57.00,"St. Louis, Missouri",2594.00,101.00
56.00,"Hartford, Connecticut",2585.00,82.00
57.00,"Baltimore, Maryland",2582.00,105.00
59.00,"Houston, Texas",2578.00,90.00
58.00,"New York, New York",2535.00,107.00
56.00,"Washington, DC",2528.00,96.00
56.00,"Louisville, Kentucky",2514.00,93.00
56.00,"Nashville, Tennessee",2510.00,102.00
54.00,"Chicago, Illinois",2508.00,84.00
56.00,"Philadelphia, Pennsylvania",2498.00,93.00
54.00,"Milwaukee, Wisconsin",2484.00,90.00
55.00,"Indianapolis, Indiana",2440.00,88.00
53.00,"Detroit, Michigan",2436.00,75.00
48.00,"Portland, Oregon",2341.00,68.00
50.00,"Cincinnati, Ohio",2335.00,81.00
51.00,"Rochester, New York",2298.00,61.00
49.00,"Cleveland, Ohio",2280.00,66.00
48.00,"Buffalo, New York",2207.00,54.00
50.00,"Columbus, Ohio",2183.00,72.00
47.00,"Seattle, Washington",2170.00,58.00
45.00,"Pittsburgh, Pennsylvania",2021.00,59.00